,date,active_median,active_05,active_25,active_75,active_95,infectious_median,infectious_05,infectious_25,infectious_75,infectious_95,symptoms_median,symptoms_05,symptoms_25,symptoms_75,symptoms_95,hospitalized_median,hospitalized_05,hospitalized_25,hospitalized_75,hospitalized_95,icu_median,icu_05,icu_25,icu_75,icu_95,dead_median,dead_05,dead_25,dead_75,dead_95,immune_median,immune_05,immune_25,immune_75,immune_95
0,2020-03-12,3374.0,2466.75,2898.25,3954.75,4351.349999999999,1248.5,724.3,1008.0,1527.75,1898.9499999999998,546.5,518.35,532.25,565.0,595.65,13.0,5.45,9.25,18.0,24.0,3.0,1.0,2.0,4.0,5.549999999999997,1.0,1.0,1.0,1.0,1.0,565.5,449.75,496.5,603.5,679.1999999999999
1,2020-03-13,4105.0,3029.25,3493.75,4631.25,5052.75,1816.5,1177.15,1528.25,2247.0,2789.2999999999993,694.5,636.8,675.25,737.5,782.05,15.0,6.45,10.25,21.75,27.099999999999994,3.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,843.5,696.9,744.25,914.75,983.3
2,2020-03-14,4663.0,3482.65,3945.5,5227.5,5678.950000000001,2148.5,1452.7,1766.75,2582.75,3129.7999999999993,872.5,787.8499999999999,832.0,948.75,1012.1,17.0,7.0,11.25,22.75,30.0,3.5,1.0,2.0,4.0,7.549999999999997,1.0,1.0,1.0,1.0,1.5499999999999972,1045.5,820.3,936.0,1113.0,1210.65
3,2020-03-15,5237.5,3949.25,4492.75,5906.5,6343.549999999999,2453.0,1468.1,1988.25,2869.0,3459.2999999999993,1079.0,957.45,1014.75,1196.0,1290.75,17.5,7.45,12.0,23.75,32.55,4.0,1.0,2.0,5.0,7.549999999999997,1.0,1.0,1.0,1.0,2.0,1288.0,984.5500000000001,1127.5,1366.75,1490.75
4,2020-03-16,6018.0,4507.5,5100.75,6724.5,7108.700000000001,2776.0,1693.7,2250.25,3215.5,3831.05,1319.5,1149.2,1228.5,1476.0,1618.65,18.5,8.45,12.25,24.75,32.55,4.0,1.0,2.0,5.0,7.549999999999997,1.0,1.0,1.0,2.0,3.0,1573.0,1232.25,1359.25,1660.75,1855.0
5,2020-03-17,6558.5,4939.25,5558.75,7314.75,7731.299999999999,3092.5,1855.25,2480.0,3478.5,4138.25,1582.5,1350.15,1473.0,1785.5,1961.5,18.0,7.9,11.5,25.5,30.0,4.0,1.0,3.0,5.0,8.0,1.0,1.0,1.0,2.0,3.549999999999997,1904.5,1489.7,1647.75,2001.5,2297.2
6,2020-03-18,7139.0,5445.6,6081.75,7990.75,8409.0,3383.5,2056.9,2784.5,3910.5,4479.349999999999,1872.5,1552.15,1749.75,2129.0,2319.95,16.5,8.0,13.0,23.75,31.19999999999999,4.0,1.4500000000000002,3.0,5.0,8.0,1.5,1.0,1.0,2.75,4.0,2279.0,1790.2,1988.0,2416.0,2816.25
7,2020-03-19,7775.0,5997.75,6631.75,8705.25,9167.8,3669.5,2240.95,2920.25,4093.0,4695.249999999998,2195.5,1804.8,2040.0,2490.5,2718.95,18.0,8.45,13.25,25.25,30.549999999999997,5.0,2.0,2.25,5.75,8.0,2.0,1.0,1.0,3.0,5.0,2702.5,2091.9,2360.75,2890.5,3354.8999999999996
8,2020-03-20,8420.5,6511.1,7216.25,9450.0,9957.65,3750.5,2278.5,3061.5,4236.25,4869.949999999999,2528.0,2059.85,2352.75,2878.75,3138.3499999999995,19.5,9.45,14.0,24.75,33.0,5.0,1.4500000000000002,3.0,6.0,8.0,2.0,1.0,1.0,3.75,5.0,3194.0,2415.9,2761.75,3387.25,3897.3999999999996
9,2020-03-21,9004.5,6962.85,7677.25,10087.25,10634.449999999999,3848.5,2378.7,3198.5,4423.0,5046.699999999999,2905.5,2313.75,2672.25,3277.0,3586.7999999999993,23.0,10.9,15.25,27.25,38.64999999999999,5.0,1.4500000000000002,4.0,6.0,9.099999999999994,3.0,1.0,2.0,4.0,6.0,3677.0,2798.95,3204.0,3942.0,4491.35
